Player,Squad,Comp,MP,Min,90s,is_ucl_team,Gls,Ast,G+A,Sh,SoT,G/Sh,Gls_per90,Ast_per90,Sh_per90,SoT_per90,distance,similarity_score
Ragnar Ache,Köln,de Bundesliga,29,1718,19.1,False,7,4,11,52,22,0.13,0.36649214659685864,0.20942408376963348,2.7225130890052354,1.1518324607329842,0.5032604080451406,66.52207392998616
Akor Adams,Sevilla,es La Liga,28,1846,20.5,False,8,3,11,55,27,0.09,0.3902439024390244,0.14634146341463414,2.682926829268293,1.3170731707317074,0.6355839073026895,61.140244504431585
Rômulo,RB Leipzig,de Bundesliga,28,2080,23.1,False,9,4,13,61,27,0.15,0.3896103896103896,0.17316017316017315,2.6406926406926403,1.1688311688311688,0.7324264979057621,57.72250662344674
Rafael Leão,Milan,it Serie A,27,1771,19.7,False,9,3,12,60,23,0.12,0.4568527918781726,0.15228426395939088,3.0456852791878175,1.16751269035533,0.8703446951250242,53.46608048272912
Sambou Soumano,Lorient,fr Ligue 1,30,931,10.3,False,4,2,6,28,10,0.14,0.3883495145631068,0.1941747572815534,2.7184466019417473,0.9708737864077669,0.8841237171825554,53.0750709669618
Karl Etta Eyong,Levante,es La Liga,28,1410,15.7,False,6,2,8,41,21,0.15,0.3821656050955414,0.12738853503184713,2.6114649681528666,1.337579617834395,0.9898332432286305,50.2554675575445
Emersonn,Toulouse,fr Ligue 1,26,1469,16.3,False,6,2,8,51,19,0.12,0.36809815950920244,0.12269938650306748,3.1288343558282206,1.165644171779141,1.0489744428767922,48.80490352022079
Keinan Davis,Udinese,it Serie A,27,1890,21.0,False,10,3,13,45,22,0.13,0.47619047619047616,0.14285714285714285,2.142857142857143,1.0476190476190477,1.0590263699266547,48.566643662539455
Mikel Oyarzabal,Real Sociedad,es La Liga,30,2482,27.6,False,14,3,17,74,34,0.11,0.5072463768115941,0.10869565217391304,2.681159420289855,1.2318840579710144,1.082569739912748,48.01759964311669
Andrea Pinamonti,Sassuolo,it Serie A,34,2434,27.0,False,8,3,11,70,27,0.11,0.2962962962962963,0.1111111111111111,2.5925925925925926,1.0,1.1132242121428157,47.32105539269763
Christian Pulisic,Milan,it Serie A,28,1549,17.2,False,8,3,11,50,24,0.16,0.46511627906976744,0.1744186046511628,2.906976744186047,1.3953488372093024,1.150137312666011,46.50865756848217
